epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5643,1.78321,3.08271,0.00496,0.41549,0.46506,0.386,0.16655,0.64146,nan,0.00228,0.000663492,0.000663492,0.000663492
2,115.122,1.89012,2.04129,0.00553,0.5042,0.48885,0.47218,0.19596,0.68507,nan,0.00251,0.00132983,0.00132983,0.00132983
3,166.407,1.91188,1.80479,0.00543,0.3906,0.3821,0.32269,0.13027,nan,nan,nan,0.00199487,0.00199487,0.00199487
4,217.219,1.86238,1.78344,0.00523,0.53357,0.5174,0.5139,0.21549,0.66201,nan,0.00237,0.00199561,0.00199561,0.00199561
5,268.195,1.85544,1.75381,0.0052,0.42882,0.4722,0.40286,0.17271,0.65083,10.3554,0.0023,0.00199219,0.00199219,0.00199219
6,318.924,1.84342,1.69802,0.00528,0.54222,0.53167,0.53961,0.22837,0.67625,nan,0.00242,0.00198781,0.00198781,0.00198781
7,369.669,1.83367,1.64802,0.00534,0.52645,0.53999,0.53099,0.2304,0.66224,5.33205,0.00238,0.00198246,0.00198246,0.00198246
8,420.738,1.85784,1.66519,0.00522,0.53531,0.52453,0.52869,0.22064,0.66034,1.11528,0.00231,0.00197616,0.00197616,0.00197616
9,471.67,1.82626,1.57442,0.0052,0.55698,0.54118,0.53507,0.24007,0.64597,nan,0.00231,0.0019689,0.0019689,0.0019689
10,522.652,1.77177,1.46232,0.00504,0.57444,0.56393,0.59585,0.27681,0.60573,1.71567,0.00211,0.00196069,0.00196069,0.00196069
11,573.455,1.77718,1.56922,0.0052,0.58557,0.57092,0.59178,0.26741,0.62388,2.18703,0.00219,0.00195155,0.00195155,0.00195155
12,624.35,1.78631,1.47377,0.00506,0.60067,0.53137,0.57096,0.24212,0.65031,1.53922,0.00228,0.00194147,0.00194147,0.00194147
13,674.968,1.77093,1.46456,0.00505,0.57112,0.57536,0.59674,0.27901,0.62889,nan,0.00224,0.00193048,0.00193048,0.00193048
14,725.53,1.75792,1.42508,0.00508,0.53386,0.57092,0.56688,0.2522,0.65519,nan,0.00231,0.00191858,0.00191858,0.00191858
15,776.281,1.7331,1.38511,0.00485,0.58513,0.55665,0.58772,0.27041,0.63335,1.91034,0.00225,0.00190578,0.00190578,0.00190578
16,826.983,1.74134,1.3373,0.0049,0.57633,0.58977,0.60068,0.26633,0.63897,0.86802,0.00228,0.0018921,0.0018921,0.0018921
17,877.655,1.73169,1.33611,0.00491,0.56916,0.55873,0.57374,0.26063,0.65406,1.47092,0.00237,0.00187754,0.00187754,0.00187754
18,928.348,1.70331,1.31239,0.0048,0.60425,0.59204,0.62776,0.29907,0.59995,nan,0.0021,0.00186213,0.00186213,0.00186213
19,979.241,1.72116,1.29317,0.00497,0.60733,0.60386,0.63087,0.29582,0.614,nan,0.00218,0.00184588,0.00184588,0.00184588
20,1029.97,1.71585,1.28853,0.00485,0.58576,0.60505,0.61791,0.28575,0.6364,nan,0.00229,0.00182881,0.00182881,0.00182881
21,1080.62,1.70851,1.23206,0.00485,0.5279,0.5623,0.56691,0.25138,0.63976,nan,0.00224,0.00181093,0.00181093,0.00181093
22,1131.18,1.70098,1.22131,0.00473,0.52672,0.5736,0.56178,0.27476,0.60885,nan,0.00214,0.00179225,0.00179225,0.00179225
23,1181.73,1.68331,1.24133,0.00475,0.56763,0.59203,0.60062,0.28506,0.6214,nan,0.0022,0.00177281,0.00177281,0.00177281
24,1232.31,1.68234,1.25265,0.00478,0.58334,0.60809,0.61867,0.29213,0.60929,nan,0.00215,0.00175261,0.00175261,0.00175261
25,1283.06,1.67275,1.19226,0.00465,0.53937,0.58073,0.57269,0.2457,0.65369,nan,0.0023,0.00173168,0.00173168,0.00173168
26,1333.85,1.65694,1.18773,0.00464,0.58984,0.59768,0.61697,0.29604,0.6192,nan,0.0022,0.00171004,0.00171004,0.00171004
27,1384.42,1.63989,1.13497,0.00459,0.60056,0.62742,0.63296,0.30713,0.61175,nan,0.00218,0.0016877,0.0016877,0.0016877
28,1435.18,1.62407,1.13793,0.00459,0.62777,0.60868,0.63952,0.3108,0.61813,nan,0.0022,0.0016647,0.0016647,0.0016647
29,1485.83,1.61267,1.12631,0.00457,0.60481,0.59054,0.61645,0.29221,0.62645,nan,0.00222,0.00164105,0.00164105,0.00164105
30,1536.4,1.63001,1.14122,0.00474,0.62372,0.58754,0.63331,0.29798,0.62139,nan,0.00218,0.00161678,0.00161678,0.00161678
31,1586.92,1.61375,1.08664,0.00454,0.60367,0.57449,0.61557,0.28748,0.62515,nan,0.00224,0.00159191,0.00159191,0.00159191
32,1637.53,1.58975,1.05614,0.00458,0.59917,0.6072,0.63235,0.29455,0.62622,nan,0.00221,0.00156646,0.00156646,0.00156646
33,1688.37,1.5861,1.05837,0.00438,0.5743,0.62379,0.61237,0.29702,0.61235,nan,0.00216,0.00154047,0.00154047,0.00154047
34,1739.03,1.56265,1.03159,0.00426,0.59691,0.58014,0.60832,0.27934,0.62906,nan,0.00222,0.00151395,0.00151395,0.00151395
35,1789.64,1.57635,1.06057,0.00443,0.59502,0.57984,0.61016,0.29112,0.62452,1.50556,0.00222,0.00148694,0.00148694,0.00148694
36,1840.27,1.55932,1.01677,0.00427,0.59403,0.59976,0.61684,0.29409,0.62174,nan,0.00219,0.00145945,0.00145945,0.00145945
37,1890.75,1.54753,0.97224,0.00421,0.58653,0.64377,0.64325,0.30836,0.62596,nan,0.00222,0.00143152,0.00143152,0.00143152
38,1941.46,1.52845,0.96089,0.00422,0.62104,0.59647,0.6317,0.30734,0.62347,nan,0.00223,0.00140318,0.00140318,0.00140318
39,1992.05,1.52966,0.97698,0.00434,0.60159,0.62097,0.647,0.31476,0.61676,nan,0.0022,0.00137444,0.00137444,0.00137444
40,2042.91,1.51147,0.94739,0.00409,0.60879,0.60095,0.62998,0.29999,0.61804,nan,0.00218,0.00134535,0.00134535,0.00134535
41,2093.61,1.526,0.96473,0.0043,0.64605,0.58281,0.64108,0.31165,0.6047,nan,0.00213,0.00131593,0.00131593,0.00131593
42,2144.24,1.51532,0.96242,0.00417,0.59338,0.58965,0.6158,0.30221,0.61083,nan,0.00216,0.0012862,0.0012862,0.0012862
43,2194.96,1.53312,0.95186,0.00434,0.61364,0.62764,0.64511,0.3153,0.60654,nan,0.00215,0.0012562,0.0012562,0.0012562
44,2245.8,1.48677,0.93359,0.00413,0.56582,0.61433,0.60724,0.28054,0.62045,nan,0.00217,0.00122596,0.00122596,0.00122596
45,2296.52,1.46724,0.94741,0.00396,0.61641,0.56081,0.59743,0.28359,0.62605,nan,0.00222,0.00119551,0.00119551,0.00119551
46,2347.31,1.47179,0.91284,0.00407,0.62941,0.59263,0.63675,0.30717,0.63009,1.3699,0.00225,0.00116487,0.00116487,0.00116487
47,2397.97,1.45082,0.87871,0.00402,0.58499,0.60809,0.60588,0.29363,0.62986,nan,0.00225,0.00113408,0.00113408,0.00113408
48,2448.75,1.45104,0.88886,0.00394,0.58807,0.60839,0.62582,0.30538,0.61312,nan,0.00217,0.00110317,0.00110317,0.00110317
49,2499.27,1.4147,0.83,0.00393,0.62632,0.5953,0.62723,0.3082,0.6167,nan,0.00218,0.00107216,0.00107216,0.00107216
50,2549.98,1.41395,0.81598,0.00386,0.59395,0.59054,0.60565,0.29529,0.62149,nan,0.00219,0.0010411,0.0010411,0.0010411
51,2600.61,1.40784,0.82942,0.00385,0.61102,0.59411,0.62444,0.29642,0.63878,nan,0.00229,0.00101,0.00101,0.00101
52,2651.14,1.38839,0.80926,0.00386,0.59944,0.62117,0.63673,0.3075,0.61762,nan,0.00218,0.000978903,0.000978903,0.000978903
53,2701.96,1.37174,0.78655,0.00374,0.5913,0.59946,0.60916,0.29567,0.62816,nan,0.00225,0.000947837,0.000947837,0.000947837
